target_index,tic_id,tic_name,ads_search_query,simbad_object_query,simbad_coordinate_query,ra_deg,dec_deg,plx_mas,vmag,kmag,teff_k,lum_rel_solar,hz_inner_mas,hz_outer_mas,t_exposure_hr,n_cover,t_tot_day,recommended_next_crossmatch,literature_search_name,simbad_main_id,literature_search_aliases,mast_hip,mast_tyc,mast_gaia,mast_twomass,mast_kic
60,1628071,TIC 1628071,"""TIC 1628071""",TIC 1628071,188.01760900 -16.19599460,188.017609,-16.1959946,55.6753,4.3,3.372,6853.53,4.623329,86.32619011,194.7790008,85.3626509346681,5,17.7838856113892,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 109085,eta Crv,HD 109085 | HR 4775 | eta Crv | 8 Crv | HIP 61174 | TYC 6103-2394-1 | Gaia DR3 3526420114274019456 | Gaia DR2 3526420114272476800 | 2MASS J12320424-1611455 | TIC 1628071,61174,6103-02394-1,3526420114272476800,12320424-1611455,
61,75899957,TIC 75899957,"""TIC 75899957""",TIC 75899957,260.25156040 -21.11294081,260.2515604,-21.11294081,58.6019,4.39,3.067,6756.0,4.131667,86.16174214,195.0505865,70.8404222481411,5,14.7584213016961,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 156897,ksi Oph,HD 156897 | HR 6445 | ksi Oph | 40 Oph | HIP 84893 | TYC 6246-664-1 | Gaia DR3 4115142207982341504 | Gaia DR2 4115142276696645632 | 2MASS J17210038-2106463 | TIC 75899957,84893,6246-00664-1,4115142276696645632,17210038-2106463,
62,326242565,TIC 326242565,"""TIC 326242565""",TIC 326242565,41.27584767 -18.57263295,41.27584767,-18.57263295,70.7449,4.47,3.249,6353.39,2.61725,83.96336948,192.9104917,35.385283561841,5,7.37193407538355,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 17206,tau01 Eri,HD 17206 | HR 818 | 1 Eri | tau01 Eri | 90 Cet | HIP 12843 | TYC 5866-1050-1 | Gaia DR3 5129338021224785408 | Gaia DR2 5129338021224785408 | 2MASS J02450616-1834211 | TIC 326242565,12843,5866-01050-1,5129338021224785408,02450616-1834211,
63,157364190,TIC 157364190,"""TIC 157364190""",TIC 157364190,238.16892140 42.45151419,238.1689214,42.45151419,63.1627,4.61287,2.583,5805.13,3.136053,83.84053558,197.0958095,62.2873783918494,5,12.9765371649686,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 142373,chi Her,HD 142373 | HR 5914 | chi Her | 1 Her | HIP 77760 | TYC 3057-2021-1 | Gaia DR3 1384195086792268800 | Gaia DR2 1384195086792268800 | 2MASS J15524052+4227052 | TIC 157364190,77760,3057-02021-1,1384195086792268800,15524052+4227052,
64,1101124558,TIC 1101124558,"""TIC 1101124558""",TIC 1101124558,222.84744870 19.10045609,222.8474487,19.10045609,148.519,4.6558,2.569999933,5496.0,0.5531361,83.8338583,199.8770918,2.29500933728338,5,0.47812694526737,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 131156A,ksi Boo A,HD 131156A | ksi Boo A | TYC 1481-722-1 | Gaia DR3 1237090738916392704 | Gaia DR2 1237090738916392704 | TIC 1101124558,,,1237090738916392704,,
65,72506701,TIC 72506701,"""TIC 72506701""",TIC 72506701,206.81557120 17.45688614,206.8155712,17.45688614,63.8638,4.48635,3.507,6466.27,3.202412,83.49520988,191.00422,51.5650833309374,5,10.7427256939453,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 120136,tau Boo,HD 120136 | HR 5185 | 4 Boo | tau Boo | tau Boo A | HIP 67275 | TYC 1460-132-1 | Gaia DR3 1244571953471006720 | Gaia DR2 1244571953471006720 | 2MASS J13471581+1727249 | TIC 72506701,67275,1460-00132-1,1244571953471006720,13471581+1727249,
66,77549389,TIC 77549389,"""TIC 77549389""",TIC 77549389,142.28725370 -2.76894694,142.2872537,-2.76894694,56.2938,4.60406,3.56,5161.0,3.64765,82.69117518,200.3323048,113.947352374271,5,23.7390317446398,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 81997,tau01 Hya,HD 81997 | HR 3759 | 31 Hya | tau01 Hya | HIP 46509 | TYC 4885-1568-1 | Gaia DR3 3837697972130323456 | Gaia DR2 3837697972130323456 | 2MASS J09290891-0246083 | TIC 77549389,46509,4885-01568-1,3837697972130323456,09290891-0246083,
67,157966796,TIC 157966796,"""TIC 157966796""",TIC 157966796,218.67007160 29.74512880,218.6700716,29.7451288,63.8633,4.46447,3.336,6782.21,3.181787,82.33054337,186.2102677,47.9829650089813,5,9.99645104353776,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 128167,sig Boo,HD 128167 | HR 5447 | 28 Boo | sig Boo | HIP 71284 | TYC 2021-1323-1 | Gaia DR3 1284257623084916480 | Gaia DR2 1284257623084916480 | 2MASS J14344080+2944422 | TIC 157966796,71284,2021-01323-1,1284257623084916480,14344080+2944422,
68,422478973,TIC 422478973,"""TIC 422478973""",TIC 422478973,199.60131130 -18.31119762,199.6013113,-18.31119762,117.573,4.6955,2.956,5562.0,0.8351588,81.33147417,193.3167298,5.4659127998299,5,1.1387318332979,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 115617,61 Vir,HD 115617 | HR 5019 | 61 Vir | HIP 64924 | TYC 6116-1517-1 | Gaia DR3 3507879565090229888 | Gaia DR2 3507879565090229888 | 2MASS J13182443-1818387 | TIC 422478973,64924,,3507879565090229888,13182443-1818387,
69,283819432,TIC 283819432,"""TIC 283819432""",TIC 283819432,225.94736100 47.65422700,225.947361,47.654227,78.39,4.73529,3.011,5841.92,1.921616791,81.33025763,190.8838392,25.414397706805,5,5.29466618891772,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 133640,i Boo,HD 133640 | HR 5618 | i Boo | 44 Boo | HIP 73695 | 2MASS J15034736+4739152 | TIC 283819432,73695,3484-01580-1,1588936345294751872,15034736+4739152,
